Available,Cost,Event name,Category,Organizer,Link,Date,Beginning Date,Ending Date,Time,Location,Photo,Summary
,,《重建共善：現代社羣關係的再想像》讀書會,01. 與書相遇,hk_nomads,,"26/3, 26/4, 24/5, 26/6",,,8-10pm,獵人書店,,"【《重建共善：現代社羣關係的再想像》讀書會】 @hk_nomads | 26/3, 26/4, 24/5, 26/6 | 獵人書店"
,,Clothing Repair & Upcycling Workshop,12. 整下野,gwobean,,23/6,,,1-3:30pm,,,【Clothing Repair & Upcycling Workshop】 @gwobean | 23/6 | 
,,LUMOS Live Music Show - Jacky,15. 音樂,lumos.restaurantandbar,,23/6,,,7:30-10:30pm,LUMOS Restaurant and Bar,,【LUMOS Live Music Show - Jacky】 @lumos.restaurantandbar | 23/6 | LUMOS Restaurant and Bar
,,新書分享會(三) 《BAD ACTiNG - 踢走爛演技的5堂課》,07. 藝術野,o_theatre_workshop,,23/6,,,5:30-7pm,誠品銅鑼灣,,【新書分享會(三) 《BAD ACTiNG - 踢走爛演技的5堂課》】 @o_theatre_workshop | 23/6 | 誠品銅鑼灣
,Free,天文電影《智能中國：前沿科學—變動中的地球》,17. 其他,hkspacem,https://www.instagram.com/p/C7oIXI5o3Os/?img_index=2,23/6,,,3-4pm,香港太空館演講廳,,【天文電影《智能中國：前沿科學—變動中的地球》】 @hkspacem | 23/6 | 香港太空館演講廳
,Free,天文電影《尋找太空邊緣》,17. 其他,hkspacem,https://www.instagram.com/p/C7oIXI5o3Os/?img_index=2,23/6,,,4:30-5:30pm,香港太空館演講廳,,【天文電影《尋找太空邊緣》】 @hkspacem | 23/6 | 香港太空館演講廳
,,靜心 x 水彩寫生課程,11. 身心靈,mindful_still_together,,"23/6, 30/6, 7/7, 14/7, 11/8 18/8 25/8 1/9",,,1-4pm,如舍,,"【靜心 x 水彩寫生課程】 @mindful_still_together | 23/6, 30/6, 7/7, 14/7, 11/8 18/8 25/8 1/9 | 如舍"
,,超八米厘菲林工作坊,17. 其他,filmculturecentre_hk,,"23, 29/6, 6, 20/7",,,,電影文化中心會址,,"【超八米厘菲林工作坊】 @filmculturecentre_hk | 23, 29/6, 6, 20/7 | 電影文化中心會址"
,,6月繪本專題zoom課程——繪本可以講道理嗎？,01. 與書相遇,roomforlife2020,,24/6,,,8-10pm,online,,【6月繪本專題zoom課程——繪本可以講道理嗎？】 @roomforlife2020 | 24/6 | online
,,JUNE Book Club Meetup,01. 與書相遇,hongkongreaders,,24/6,,,7pm,Delaneys TST,,【JUNE Book Club Meetup】 @hongkongreaders | 24/6 | Delaneys TST
,Free,南亞文化研習小組：南亞宗教信仰,06. 留在香港環遊世界,fredie.hung,https://www.facebook.com/story.php?story_fbid=765679969033889&id=100067756779023&mibextid=xfxF2i&rdid=4mSyMredkro0XhBy&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2Fp%2FeupULm5sBo2ufofn%2F%3Fmibextid%3DxfxF2i,24/6,,,,少數點文化,,【南亞文化研習小組：南亞宗教信仰】 @fredie.hung | 24/6 | 少數點文化
,Free,VMAC Forum: 香港早期實驗影像及六七十年代的另類文化實踐,07. 藝術野,,https://www.facebook.com/story.php?story_fbid=871514235003367&id=100064343963236&mibextid=xfxF2i&rdid=Gx367mYAz9zqVIxT,24/6,,,5pm,online,,【VMAC Forum: 香港早期實驗影像及六七十年代的另類文化實踐】 @ | 24/6 | online
,,哲學生活課程：《藝術賞析》,07. 藝術野,philosophy_n_life,,24/6-22/7,,,8-10pm,online,,【哲學生活課程：《藝術賞析》】 @philosophy_n_life | 24/6-22/7 | online
,,6月縫補寶車縫班,12. 整下野,intimeofhk,,25/6,,,,AIRSIDE,,【6月縫補寶車縫班】 @intimeofhk | 25/6 | AIRSIDE
,,Afro-Japan Fusion Dinner,06. 留在香港環遊世界,africacenterhk,,25/6,,,5-9pm,Africa Center HK,,【Afro-Japan Fusion Dinner】 @africacenterhk | 25/6 | Africa Center HK
,,CDC Workshops: Screentime and early writing; mark making,10. 親子關係,cdchongkong,,25/6,,,12:30-1:30pm,CDC North Point Center,,【CDC Workshops: Screentime and early writing; mark making】 @cdchongkong | 25/6 | CDC North Point Center
,,粵難越做：香港廣播劇的興盛和不滅,07. 藝術野,hok6dotcom,,25/6,,,8:30-10:30pm,online,,【粵難越做：香港廣播劇的興盛和不滅】 @hok6dotcom | 25/6 | online
,,素行戈壁——線下分享會,06. 留在香港環遊世界,ben_sir_dr_ben,,25/6,,,6:30-8:30pm,上環德輔道中244至248號東協商業大廈,,【素行戈壁——線下分享會】 @ben_sir_dr_ben | 25/6 | 上環德輔道中244至248號東協商業大廈
,,《荔枝窩的信件》解謎遊戲,05. 認識香港,cahk1968,,25/6,,,11am-2pm,荔枝窩村農區,,【《荔枝窩的信件》解謎遊戲】 @cahk1968 | 25/6 | 荔枝窩村農區
,,Kind Of Brew文化沙龍 ｜ 委內瑞拉天堂與地獄,06. 留在香港環遊世界,kindofbrewhk,,25/6,,,8pm,Kind of Brew,,【Kind Of Brew文化沙龍 ｜ 委內瑞拉天堂與地獄】 @kindofbrewhk | 25/6 | Kind of Brew
,,粵難越做講座【香港廣播劇的興盛和不滅】,07. 藝術野,hok6dotcom,https://www.instagram.com/p/C8hMnWHvCcg/,25/6,,,8:30-10:30pm,online,,【粵難越做講座【香港廣播劇的興盛和不滅】】 @hok6dotcom | 25/6 | online
,,自卑與超越─阿德勒的「勇氣心理學」,01. 與書相遇,philosophy_n_life,,"25/6, 2/7",,,7:30-9:30pm,界限書店,,"【自卑與超越─阿德勒的「勇氣心理學」】 @philosophy_n_life | 25/6, 2/7 | 界限書店"
,,桌遊培訓實戰系列課程——走出家庭的鬥獸場,10. 親子關係,empowernext,,26/6,,,6:45-9pm,天道書樓,,【桌遊培訓實戰系列課程——走出家庭的鬥獸場】 @empowernext | 26/6 | 天道書樓
,,AdorableHongKong主題保良局市集,16. 市集,yansquareheaven,,26/6,,,,尖沙咀香港文化中心,,【AdorableHongKong主題保良局市集】 @yansquareheaven | 26/6 | 尖沙咀香港文化中心
,,「聯和趁墟」週末農墟,16. 市集,luenwomarket.hk,,26/6,,,10am-3:30pm,聯和趁墟,,【「聯和趁墟」週末農墟】 @luenwomarket.hk | 26/6 | 聯和趁墟
,,淺水區 - Jam Session,15. 音樂,fountaindechopin,,26/6,,,8pm,Fountain,,【淺水區 - Jam Session】 @fountaindechopin | 26/6 | Fountain
,,Denden Karadeniz 當代舞x霹靂舞工作坊,13. 運動下,freespace_wk,,26/6,,,7:30pm,西九文化區自由空間細盒,,【Denden Karadeniz 當代舞x霹靂舞工作坊】 @freespace_wk | 26/6 | 西九文化區自由空間細盒
,,中大餘香：香氣、回憶導賞團,05. 認識香港,worldwander_hk,,26/6,,,2:30-4pm,中大,,【中大餘香：香氣、回憶導賞團】 @worldwander_hk | 26/6 | 中大
,,另一種性別 : 雙性人,09. 性別關係,mindfuljazz,,26/6,,,9-10pm,online,,【另一種性別 : 雙性人】 @mindfuljazz | 26/6 | online
,,街坊師傅-神奇潔廁炸彈,12. 整下野,jieyeah1_1,,26/6,,,7:30-8:30pm,太子,,【街坊師傅-神奇潔廁炸彈】 @jieyeah1_1 | 26/6 | 太子
,Free,「環島在一起。步捉香港美」創意攝影工作坊,05. 認識香港,warehouseteenageclub,https://www.instagram.com/p/C74AoOsKcb5/?igsh=MXQ2NGttYXBlMGplNw%3D%3D,26/6,,,2-6pm,環島長廊,,【「環島在一起。步捉香港美」創意攝影工作坊】 @warehouseteenageclub | 26/6 | 環島長廊
,,未園湖濱的感官世界：中大餘香導賞團,05. 認識香港,worldwander_hk,,26/6,,,2:30-4pm,中大,,【未園湖濱的感官世界：中大餘香導賞團】 @worldwander_hk | 26/6 | 中大
,Free,論壇——從哪裡談起？香港女同志的身份、連結與需要,09. 性別關係,society.of.truelight,https://www.instagram.com/p/C8lxTHuPkIE/?img_index=1,26/6,,,7:30-9pm,佐敦法國文化協會  (佐敦道 52 號),,【論壇——從哪裡談起？香港女同志的身份、連結與需要】 @society.of.truelight | 26/6 | 佐敦法國文化協會  (佐敦道 52 號)
,,Shakespeare Thribute Night: An Evening with the Bard,01. 與書相遇,jasleepoet,,26/6,,,8pm,"3/F, Won Hing Building, 74-78 Stanley Street",,"【Shakespeare Thribute Night: An Evening with the Bard】 @jasleepoet | 26/6 | 3/F, Won Hing Building, 74-78 Stanley Street"
,Free,未園湖濱的感官世界：中大餘香導賞團,05. 認識香港,worldwander_hk,https://www.instagram.com/p/C8OHh4oPWJl/?img_index=1,26/6,,,2:30-4pm,中大,,【未園湖濱的感官世界：中大餘香導賞團】 @worldwander_hk | 26/6 | 中大
,,結婚吧——孟若〈意外〉讀書會,01. 與書相遇,worldwander_hk,https://www.instagram.com/p/C8gONZtPGZj/,26/6,,,9-10:30pm,,,【結婚吧——孟若〈意外〉讀書會】 @worldwander_hk | 26/6 | 
,,Music of the Week at Barrel - 紀 2200-0000 @lamrk_music,15. 音樂,barrelbarnrestaurant,https://www.instagram.com/p/C8j8O55vRmx/,26/6,,,10pm-12am,Barrel Bar & Restaurant,,【Music of the Week at Barrel - 紀 2200-0000 @lamrk_music】 @barrelbarnrestaurant | 26/6 | Barrel Bar & Restaurant
,,2D手繪動畫工作坊 ,07. 藝術野,filmculturecentre_hk,https://www.instagram.com/p/C7jdtjuP75n/,"26/6, 3/7, 10/7, 17/7, 24/7, 31/7, 7/8 , 14/8, 21/8, 28/8",,,7-10pm,電影文化中心(香港) 會址,,"【2D手繪動畫工作坊 】 @filmculturecentre_hk | 26/6, 3/7, 10/7, 17/7, 24/7, 31/7, 7/8 , 14/8, 21/8, 28/8 | 電影文化中心(香港) 會址"
,,【區區有得唞】- 讓疲累的心歇一會的共修小聚,11. 身心靈,pause_breathe,,27/6,,,7:30-8:45pm,灣仔/深水埗,,【【區區有得唞】- 讓疲累的心歇一會的共修小聚】 @pause_breathe | 27/6 | 灣仔/深水埗
,,靜觀律動工作坊,11. 身心靈,quarryside.hk,,27/6,,,2:30-4:30pm,舍區 Quarryside,,【靜觀律動工作坊】 @quarryside.hk | 27/6 | 舍區 Quarryside
,,受壓迫者劇場： 解放與壓迫,07. 藝術野,book.punch,,27/6,,,7:30-10pm,旺角,,【受壓迫者劇場： 解放與壓迫】 @book.punch | 27/6 | 旺角
,Free,破 ── 一人一故事劇場演出,07. 藝術野,hunter.bookstore,https://www.instagram.com/p/C8Wgh8GPQ6Q/?igsh=eDVxeXR3MzhnbDR4,27/6,,,8pm,獵人書店,,【破 ── 一人一故事劇場演出】 @hunter.bookstore | 27/6 | 獵人書店
,,【區區有得唞】- 讓疲累的心歇一會的共修小聚,11. 身心靈,pause_breathe,,27/6,,,7:30-8:45pm,灣仔/深水埗,,【【區區有得唞】- 讓疲累的心歇一會的共修小聚】 @pause_breathe | 27/6 | 灣仔/深水埗
,Free,與多元公平共融對話 - 醫護人員及學生系列,09. 性別關係,quarkshk,https://www.instagram.com/p/C76ZqPYvpM1/?igsh=dHgzcjUweXExd3lj&img_index=1,28/6,,,8-10:30pm,尖沙咀赫德道 8A 號 Mondrian Hong Kong 一樓,,【與多元公平共融對話 - 醫護人員及學生系列】 @quarkshk | 28/6 | 尖沙咀赫德道 8A 號 Mondrian Hong Kong 一樓
,,植物全接觸,08. 環保與大自然,kfbg.official,,28/6,,,,嘉道理農場暨植物園,,【植物全接觸】 @kfbg.official | 28/6 | 嘉道理農場暨植物園
,,薄鳧林牧場導賞,05. 認識香港,thepokfulamfarm,,"28/6, 29/6, 30/6",,,,薄鳧林牧場,,"【薄鳧林牧場導賞】 @thepokfulamfarm | 28/6, 29/6, 30/6 | 薄鳧林牧場"
,,【Nomads Trial and Error Vol.3】《重建共善：現代社羣關係的再想像》讀書會,01. 與書相遇,hk_nomads,,28/6,,,8-10pm,@hunter.bookstore （深水埗）,,【【Nomads Trial and Error Vol.3】《重建共善：現代社羣關係的再想像》讀書會】 @hk_nomads | 28/6 | @hunter.bookstore （深水埗）
,,《尚未完場》私人包場,07. 藝術野,walk.in.hong.kong,,28/6,,,7:30-9:20pm,百老匯電影中心,,【《尚未完場》私人包場】 @walk.in.hong.kong | 28/6 | 百老匯電影中心
,,Ravi Campbell (NY),15. 音樂,fountaindechopin,https://www.instagram.com/p/C8PNmfyvgHl/?img_index=1,28/6,,,8pm,Fountain,,【Ravi Campbell (NY)】 @fountaindechopin | 28/6 | Fountain
,,深「藏」不露：你不知道的青藏高原 by Travella,06. 留在香港環遊世界,barlemna,,28/6,,,7:30-9pm,Glasshouse Culture Area at Lemna of the alchemist,,【深「藏」不露：你不知道的青藏高原 by Travella】 @barlemna | 28/6 | Glasshouse Culture Area at Lemna of the alchemist
,,【大師傳藝·尋古知新系列講座】傳統文化藝術的現代啟示,04. 香港人社區文化,chbook.hk,,28/6,,,7:30-9:30pm,香港太空館演講廳,,【【大師傳藝·尋古知新系列講座】傳統文化藝術的現代啟示】 @chbook.hk | 28/6 | 香港太空館演講廳
,,元渠環境考察隊「自然大步走」,08. 環保與大自然,yuenlong.river,,28/6,,,2pm/4pm,元朗,,【元渠環境考察隊「自然大步走」】 @yuenlong.river | 28/6 | 元朗
,,《過度努力》讀書會,01. 與書相遇,sinceconceptstore,,28/6,,,7:30-9pm,灣仔集成中心UG6號舖SINCE Concept Store,,【《過度努力》讀書會】 @sinceconceptstore | 28/6 | 灣仔集成中心UG6號舖SINCE Concept Store
,,余地純素晚膳,08. 環保與大自然,panlabhk,,28/6,,,6-10pm,余地,,【余地純素晚膳】 @panlabhk | 28/6 | 余地
,,同志伴侶的未來?了解同志伴侶/配偶相關福利,09. 性別關係,prideline22175959,,28/6,,,8-9:30pm,油麻地,,【同志伴侶的未來?了解同志伴侶/配偶相關福利】 @prideline22175959 | 28/6 | 油麻地
,,六月親子故事屋——改變.由我開始,10. 親子關係,storylife.hk,https://www.instagram.com/p/C8b_S8qv1kO/?img_index=1,28/6,,,8-9:15pm,online,,【六月親子故事屋——改變.由我開始】 @storylife.hk | 28/6 | online
,Free,小讀讀香港詩寫作坊：重寫性別故事,03.詩與詩相關的,littledoodoohk,,28/6,,,8-9:30pm,界限書店,,【小讀讀香港詩寫作坊：重寫性別故事】 @littledoodoohk | 28/6 | 界限書店
,Free,網上對談「來回神話與現實之間：祖母綠在亞洲」,07. 藝術野,lecoleasiapacific,https://www.instagram.com/p/C8MZNV2ye2K/?igsh=emMzdjBnNTd1NWcx,28/6,,,7pm,online,,【網上對談「來回神話與現實之間：祖母綠在亞洲」】 @lecoleasiapacific | 28/6 | online
,,聖若瑟小學「香港的昨日與今天：一個STEAM教育之旅」藍屋展示日,05. 認識香港,vivabluehouse,,28/6,,,2-6pm,灣仔景星街8號（藍屋空地）,,【聖若瑟小學「香港的昨日與今天：一個STEAM教育之旅」藍屋展示日】 @vivabluehouse | 28/6 | 灣仔景星街8號（藍屋空地）
,Free,社區客廳之塔羅、心靈卡牌分享會,11. 身心靈,halfcupsquat,https://www.instagram.com/p/C8h2gcdJl4A/,28/6,,,7:30-9:30pm,半杯寮,,【社區客廳之塔羅、心靈卡牌分享會】 @halfcupsquat | 28/6 | 半杯寮
,,天堂酒館,14. Cheers,windowandalley,https://www.instagram.com/p/C8jJmfsvoeE/?img_index=1,28/6,,,8-10pm / 10:30pm-12:30am,窗後巷,,【天堂酒館】 @windowandalley | 28/6 | 窗後巷
,,Moody Blues Duo by Ram Cheung x Andrew Wong,15. 音樂,barlemna,https://www.instagram.com/p/C8b831gi-kn/,28/6,,,9:30-10:30pm,Bar Lemna,,【Moody Blues Duo by Ram Cheung x Andrew Wong】 @barlemna | 28/6 | Bar Lemna
,,Music of the Week at Barrel - TK & Simon 2300-0100 @tk_sing_harmony @simon051693,15. 音樂,barrelbarnrestaurant,https://www.instagram.com/p/C8j8O55vRmx/,28/6,,,11pm-1am,Barrel Bar & Restaurant,,【Music of the Week at Barrel - TK & Simon 2300-0100 @tk_sing_harmony @simon051693】 @barrelbarnrestaurant | 28/6 | Barrel Bar & Restaurant
,,作「飾」生活‧文創市集,16. 市集,dreamcatcher_market,,28/6-1/7,,,,Mira Place B1 Atrium,,【作「飾」生活‧文創市集】 @dreamcatcher_market | 28/6-1/7 | Mira Place B1 Atrium
,,APAC 原豆朱古力市集,16. 市集,pmqtastelibrary,,28/6-1/7,,,,PMQ 味道圖書館 Taste Library,,【APAC 原豆朱古力市集】 @pmqtastelibrary | 28/6-1/7 | PMQ 味道圖書館 Taste Library
,,藝術治療工作坊,11. 身心靈,arttherapyhk,,"28/6, 29/6",,,7-8pm,online,,"【藝術治療工作坊】 @arttherapyhk | 28/6, 29/6 | online"
,,桌遊培訓實戰系列課程——從桌遊中找出不同主題解說技巧,17. 其他,empowernext,,"28/6, 5/7, 12/7",,,6:45-9pm,天道書樓,,"【桌遊培訓實戰系列課程——從桌遊中找出不同主題解說技巧】 @empowernext | 28/6, 5/7, 12/7 | 天道書樓"
,,RETRO FEST 3.0丨復古二手市集,16. 市集,freetureconcept,,28/6-30/6,,,1:30-7:30pm,旺角上海街618號,,【RETRO FEST 3.0丨復古二手市集】 @freetureconcept | 28/6-30/6 | 旺角上海街618號
,,我港X街坊帶路：彩虹邨散步概念遊,05. 認識香港,kongcept852,,29/6,,,4-6pm,彩虹邨,,【我港X街坊帶路：彩虹邨散步概念遊】 @kongcept852 | 29/6 | 彩虹邨
,,【接棒未來】展覽第一部分：「過界」公眾導賞團,07. 藝術野,designspectrum.hk,,29/6,,,,荔枝角長義街9號D2 Place一期7樓A室,,【【接棒未來】展覽第一部分：「過界」公眾導賞團】 @designspectrum.hk | 29/6 | 荔枝角長義街9號D2 Place一期7樓A室
,,電影評論寫作坊,07. 藝術野,as.if_literature,,29/6,,,8pm,石門,,【電影評論寫作坊】 @as.if_literature | 29/6 | 石門
,,寧靜的舒寫 | 《心經》抄寫。熱茶,11. 身心靈,just_bookstore,,29/6,,,6:30-9:30pm,灣仔告士打道 169號 1樓,,【寧靜的舒寫 | 《心經》抄寫。熱茶】 @just_bookstore | 29/6 | 灣仔告士打道 169號 1樓
,,常霖法師「自在生活禪」之〈周六共修聽故事,11. 身心靈,pause_breathe,,29/6,,,10-11:15am,online,,【常霖法師「自在生活禪」之〈周六共修聽故事】 @pause_breathe | 29/6 | online
,,6月農夫開檔日,16. 市集,good_old_soil,,"29/6, 30/6",,,11am-4pm,梅窩鄉事委員會路33號地下「好老土」,,"【6月農夫開檔日】 @good_old_soil | 29/6, 30/6 | 梅窩鄉事委員會路33號地下「好老土」"
,,Beyond Music Night,15. 音樂,buskwithsax,https://www.instagram.com/p/C6F5E2dBJ3y/,29/6,,,8-10pm,cloud 9 music (屯門匯賢一號18樓15室),,【Beyond Music Night】 @buskwithsax | 29/6 | cloud 9 music (屯門匯賢一號18樓15室)
,,建造綠色工作坊 – 木工藍牙揚聲器,12. 整下野,cic.zcphk,,29/6,,,2-5pm,建造業零碳天地,,【建造綠色工作坊 – 木工藍牙揚聲器】 @cic.zcphk | 29/6 | 建造業零碳天地
,,西式烘培廚房：食物模型工作坊,12. 整下野,ada_hongkong,,29/6,,,2-4pm,賽馬會共融藝術工房,,【西式烘培廚房：食物模型工作坊】 @ada_hongkong | 29/6 | 賽馬會共融藝術工房
,,殘疾藝術駐留：身體感知工作坊,07. 藝術野,art_is_land,,29/6,,,1:30-3:30pm,香港逸東酒店,,【殘疾藝術駐留：身體感知工作坊】 @art_is_land | 29/6 | 香港逸東酒店
,,Queer Reads Friends Market,09. 性別關係,queer_reads_library,,29/6,,,1-7pm,1/F @eaton.hk,,【Queer Reads Friends Market】 @queer_reads_library | 29/6 | 1/F @eaton.hk
,,非洲文化體驗工作坊——東加籃子編織,06. 留在香港環遊世界,lecpamacau,,29/6,,,2-3pm,本穴 Native Cave,,【非洲文化體驗工作坊——東加籃子編織】 @lecpamacau | 29/6 | 本穴 Native Cave
,,非洲文化體驗工作坊——品嚐埃塞俄比亞咖啡、介紹對黑人的文化挪用和禁忌,06. 留在香港環遊世界,lecpamacau,,29/6,,,3:30-4:30pm,本穴 Native Cave,,【非洲文化體驗工作坊——品嚐埃塞俄比亞咖啡、介紹對黑人的文化挪用和禁忌】 @lecpamacau | 29/6 | 本穴 Native Cave
,,非洲文化體驗工作坊——非洲音樂體驗工作坊,06. 留在香港環遊世界,lecpamacau,,29/6,,,5-6pm,本穴 Native Cave,,【非洲文化體驗工作坊——非洲音樂體驗工作坊】 @lecpamacau | 29/6 | 本穴 Native Cave
,,綢衣人偶紥作手藝工作坊,12. 整下野,luenwomarket.hk,,29/6,,,2-6pm,聯和趁墟,,【綢衣人偶紥作手藝工作坊】 @luenwomarket.hk | 29/6 | 聯和趁墟
,,《遊樂人間》 — 唐書堯木笛音樂會,15. 音樂,tongsheeyiu,,29/6,,,4pm / 7:30pm,鰂魚涌英皇道 1001 號 22 樓全層 (君匠音樂),,【《遊樂人間》 — 唐書堯木笛音樂會】 @tongsheeyiu | 29/6 | 鰂魚涌英皇道 1001 號 22 樓全層 (君匠音樂)
,,一本讀書會×香港中和出版 讀職場：十年四季——給職場新鮮人的閱讀建議,01. 與書相遇,sinounitedpublishing,,29/6,,,3:30-5pm,三聯書店灣仔文化生活薈 3 樓 afterword lounge 專注空間,,【一本讀書會×香港中和出版 讀職場：十年四季——給職場新鮮人的閱讀建議】 @sinounitedpublishing | 29/6 | 三聯書店灣仔文化生活薈 3 樓 afterword lounge 專注空間
,,香港文學雜誌看香港文學 Vol.2《Sample樣本》,01. 與書相遇,abc.abookclub,,29/6,,,2:30-4pm,閱讀俱樂部,,【香港文學雜誌看香港文學 Vol.2《Sample樣本》】 @abc.abookclub | 29/6 | 閱讀俱樂部
,,「城市文學散步」#6——天橋上看風的形狀,05. 認識香港,diaspora_explorer,,29/6,,,2:30-4:40pm,維城文化辦公室,,【「城市文學散步」#6——天橋上看風的形狀】 @diaspora_explorer | 29/6 | 維城文化辦公室
